row,column,cor
TREAT,BAD,0
TREAT,ANX,0
BAD,ANX,0
TREAT,AFR,0
BAD,AFR,0.127961059628346
ANX,AFR,0.0654913060442538
TREAT,FAI,0.0393260130319275
BAD,FAI,0.122586227554427
ANX,FAI,0
AFR,FAI,0
TREAT,GUI,0
BAD,GUI,0
ANX,GUI,0
AFR,GUI,0.0730275992388234
FAI,GUI,0.151167849320017
TREAT,PUN,0
BAD,PUN,0.0968375038475586
ANX,PUN,0.0746640165446792
AFR,PUN,0
FAI,PUN,0.0939975753634491
GUI,PUN,0.104703493570645
TREAT,CRY,0
BAD,CRY,0
ANX,CRY,0
AFR,CRY,0
FAI,CRY,0
GUI,CRY,0.026872835807697
PUN,CRY,0
TREAT,IND,0.064738199315391
BAD,IND,0
ANX,IND,0
AFR,IND,0
FAI,IND,0.0298904376509786
GUI,IND,0
PUN,IND,0
CRY,IND,0.0901141939763122
TREAT,LIB,0.0819915936812907
BAD,LIB,0
ANX,LIB,0
AFR,LIB,0
FAI,LIB,0
GUI,LIB,0
PUN,LIB,0
CRY,LIB,0.0814459672757869
IND,LIB,0.0541387803004033
TREAT,PHY,-0.0284862642814421
BAD,PHY,0
ANX,PHY,0
AFR,PHY,0
FAI,PHY,0
GUI,PHY,0
PUN,PHY,0
CRY,PHY,0
IND,PHY,0
LIB,PHY,-0.123640287531074
TREAT,IMP,0
BAD,IMP,0.109065175918131
ANX,IMP,0
AFR,IMP,0
FAI,IMP,0
GUI,IMP,0.0261303451975453
PUN,IMP,0
CRY,IMP,0
IND,IMP,-0.038436342173408
LIB,IMP,0.0314439431933387
PHY,IMP,0.0671769049481388
TREAT,TIR,0.076913871890557
BAD,TIR,0.0280720977205476
ANX,TIR,0
AFR,TIR,0
FAI,TIR,0.0946650834718464
GUI,TIR,0
PUN,TIR,0
CRY,TIR,0.0604861888489173
IND,TIR,0.0570546106525111
LIB,TIR,0
PHY,TIR,-0.121823947054191
IMP,TIR,0.0435142223776847
TREAT,WOR,0
BAD,WOR,0.0648749120715332
ANX,WOR,0.374454442745993
AFR,WOR,0.197865529673178
FAI,WOR,0
GUI,WOR,0
PUN,WOR,0
CRY,WOR,0
IND,WOR,0
LIB,WOR,0
PHY,WOR,0
IMP,WOR,0.0622503933769745
TIR,WOR,0
TREAT,ANH,0
BAD,ANH,0.0474119001511582
ANX,ANH,-0.0639359613376131
AFR,ANH,0
FAI,ANH,0
GUI,ANH,0
PUN,ANH,0.0324886463299459
CRY,ANH,0.0637674551295956
IND,ANH,0.0973796306971227
LIB,ANH,0.0863745248205647
PHY,ANH,0
IMP,ANH,0.125127788513112
TIR,ANH,0.0974203256063826
WOR,ANH,0.0795133003317365
TREAT,DIS,-0.0439158279596645
BAD,DIS,0.137667598050209
ANX,DIS,0
AFR,DIS,0
FAI,DIS,0.125744993614424
GUI,DIS,0.0493873523855081
PUN,DIS,0.123096029888399
CRY,DIS,0.103972257425208
IND,DIS,0.0375287515522353
LIB,DIS,0
PHY,DIS,0
IMP,DIS,0.0426319132293926
TIR,DIS,0.0828614139869859
WOR,DIS,0
ANH,DIS,0.0535753840368037
TREAT,RES,-0.0526841977655884
BAD,RES,0
ANX,RES,0.152347886046808
AFR,RES,0.0671098609491375
FAI,RES,0
GUI,RES,0
PUN,RES,0.0822155611585881
CRY,RES,0
IND,RES,0.0611879925836783
LIB,RES,0
PHY,RES,0
IMP,RES,0
TIR,RES,0.092533291217199
WOR,RES,0.143975627264602
ANH,RES,0
DIS,RES,0
TREAT,SUI,-0.039492341426458
BAD,SUI,0.082192720349939
ANX,SUI,0
AFR,SUI,0
FAI,SUI,0.0714420013477137
GUI,SUI,0.147097946026171
PUN,SUI,0
CRY,SUI,0.0306251549366672
IND,SUI,0
LIB,SUI,0
PHY,SUI,0
IMP,SUI,0.0504405248230955
TIR,SUI,-0.0354497419555926
WOR,SUI,0.0776179454426824
ANH,SUI,0.0310355095577256
DIS,SUI,0.0645412051556579
RES,SUI,0
TREAT,SAD,-0.0922879900864188
BAD,SAD,0.138320512764962
ANX,SAD,0.0919006770280777
AFR,SAD,0
FAI,SAD,0
GUI,SAD,0.0455127105566943
PUN,SAD,0
CRY,SAD,0
IND,SAD,0.0799105798892039
LIB,SAD,0
PHY,SAD,0.136555586379995
IMP,SAD,0.130532842775027
TIR,SAD,0.0418094202002205
WOR,SAD,0
ANH,SAD,0.204160227011215
DIS,SAD,0.0709907623093412
RES,SAD,0.038334316037669
SUI,SAD,0.137956209149774
TREAT,APP,0.0890724617600467
BAD,APP,0
ANX,APP,-0.0959379476618756
AFR,APP,0.0391374737080536
FAI,APP,-0.0568205555949526
GUI,APP,0
PUN,APP,0
CRY,APP,-0.0891450103034687
IND,APP,0.13804438973959
LIB,APP,0.0604777052275793
PHY,APP,-0.034666722243628
IMP,APP,0.0639377135354602
TIR,APP,0
WOR,APP,0.0585448125109202
ANH,APP,0
DIS,APP,0.0547706232641917
RES,APP,0.096935452418032
SUI,APP,-0.0403196785511012
SAD,APP,0
TREAT,CON,0
BAD,CON,0
ANX,CON,0.0508684058747501
AFR,CON,0.0254791706204939
FAI,CON,0
GUI,CON,0
PUN,CON,0
CRY,CON,0.0455548848003859
IND,CON,0.105170410658494
LIB,CON,0.132607836857848
PHY,CON,-0.0546845034723599
IMP,CON,0.0555764842003756
TIR,CON,0.0830684466310476
WOR,CON,0
ANH,CON,0.0494580128535013
DIS,CON,0
RES,CON,0.211670396674591
SUI,CON,0
SAD,CON,0.0431997332198003
APP,CON,0
TREAT,SLE,0
BAD,SLE,0
ANX,SLE,0
AFR,SLE,0
FAI,SLE,0.061485072939359
GUI,SLE,0.0627553106447513
PUN,SLE,0
CRY,SLE,0
IND,SLE,0.0462022145299474
LIB,SLE,0.0433312107658129
PHY,SLE,0
IMP,SLE,0
TIR,SLE,0.188328349695631
WOR,SLE,0
ANH,SLE,0.111025437937985
DIS,SLE,0.0544623224365514
RES,SLE,0.0804794950857959
SUI,SLE,0
SAD,SLE,0
APP,SLE,0.128216833475254
CON,SLE,0.0388861240420246
